spm,step_height_m,mass_kg,aw_active_kcal_min,n,theory_gross_kcal_min,theory_net_kcal_min,delta_vs_net,percent_error_vs_net,mechanical_W,metabolic_W_measured,metabolic_W_theory_net,efficiency_measured,efficiency_theory_net
20.0,0.2032,73.48,4.65,2,6.338972639999999,5.053072639999999,-0.40307263999999865,-7.976783013354795,48.80814161813332,324.47700000000003,352.60340881919996,0.15042095932264327,0.1384222057908693
20.0,0.2032,79.38,5.35,2,6.847953839999999,5.458803839999999,-0.10880383999999932,-1.9931809823010482,52.72714046879999,373.323,380.9153319551999,0.14123732121728366,0.13842220579086933
20.0,0.2032,89.36,5.95,2,7.708908479999998,6.145108479999998,-0.19510847999999825,-3.1750209233083924,59.35622666026666,415.19100000000003,428.8056697343999,0.1429612555673573,0.13842220579086933
40.0,0.2032,73.48,9.85,2,11.392045280000001,10.106145280000002,-0.2561452800000019,-2.5345497507037806,97.61628323626664,687.333,705.2068176384001,0.14202181946198805,0.13842220579086928
40.0,0.2032,79.38,11.7,2,12.30675768,10.91760768,0.7823923199999996,7.166334813745566,105.45428093759998,816.4259999999999,761.8306639104,0.12916575530127652,0.1384222057908693
40.0,0.2032,80.29,11.440000000000001,5,12.447840440000002,11.042765440000002,0.39723455999999935,3.5972380483706017,106.66319244746666,798.2832000000001,770.5641724032001,0.13361572991573248,0.1384222057908693
40.0,0.2032,89.36,12.4,2,13.854016960000003,12.290216960000002,0.10978303999999817,0.893255508485329,118.71245332053331,865.272,857.6113394688001,0.13719668881060904,0.13842220579086928
60.0,0.2032,89.36,19.2,2,19.99912544,18.43532544,0.7646745599999996,4.147876653920353,178.06867998079997,1339.776,1286.4170092032,0.1329092922852775,0.1384222057908693
60.0,0.2032,79.38,14.600000000000001,2,17.76556152,16.376411519999998,-1.7764115199999964,-10.847379585146115,158.18142140639998,1018.7880000000001,1142.7459958655998,0.1552643154477673,0.13842220579086933
60.0,0.2032,73.48,14.8,2,16.44511792,15.159217920000001,-0.35921792000000075,-2.369633591229492,146.42442485439997,1032.7440000000001,1057.8102264576,0.14178191773992388,0.1384222057908693
70.0,0.2032,80.29,20.02,5,20.72991452,19.32483952,0.6951604799999984,3.5972380483706,186.66058678306666,1396.9956,1348.4873017056002,0.1336157299157325,0.1384222057908693
80.0,0.2032,73.48,19.1,2,21.49819056,20.21229056,-1.1122905599999982,-5.503040621240694,195.23256647253328,1332.7980000000002,1410.4136352768,0.1464832378744065,0.13842220579086928
80.0,0.2032,79.38,21.95,2,23.22436536,21.83521536,0.11478463999999988,0.5256858616117623,210.90856187519995,1531.671,1523.6613278208,0.1376983450592196,0.1384222057908693
80.0,0.2032,89.36,25.35,2,26.144233919999998,24.580433919999997,0.7695660800000041,3.1308075459719316,237.42490664106663,1768.9230000000002,1715.2226789375998,0.13422003481274572,0.13842220579086933
100.0,0.2032,73.48,28.549999999999997,2,26.5512632,25.2653632,3.2846367999999977,13.000552471772888,244.04070809066664,1992.2189999999998,1763.017044096,0.12249692834505979,0.1384222057908693
100.0,0.2032,79.38,23.65,2,28.6831692,27.294019199999997,-3.644019199999999,-13.35098056939888,263.635702344,1650.297,1904.5766597759998,0.1597504584592955,0.13842220579086933
100.0,0.2032,80.29,29.8,5,29.011988600000002,27.606913600000002,2.1930863999999985,7.943975309141397,266.65798111866667,2079.444,1926.4104310080002,0.12823523072449494,0.13842220579086933
100.0,0.2032,89.36,30.95,2,32.2893424,30.725542400000002,0.22445759999999737,0.7305244512135849,296.7811333013333,2159.691,2144.028348672,0.1374183312804162,0.1384222057908693
